Section,Unit,District,Name,Rank,Station,Office 1,Office 2,Mobile 1,Mobile 2,Email
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Tumakuru, Office",DCRE PS Tumakuru,Office,0816-2260824,,—,,tkrpsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DySP DCRE PS Tumakuru, Office",DySP DCRE PS Tumakuru,Office,—,,9480806132,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE PS Tumakuru, Office",PI DCRE PS Tumakuru,Office,—,,9480806133,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Ramanagara, Office",DCRE PS Ramanagara,Office,080-29911891,,—,,rmnpsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DySP DCRE PS Ramanagara, Office",DySP DCRE PS Ramanagara,Office,—,,9480806134,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Ramanagara, Office",PSI DCRE PS Ramanagara,Office,—,,9480806135,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Chikkaballapur, Office",DCRE PS Chikkaballapur,Office,08156-272733,,—,,cbppsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE PS Chikkaballapur, Office",PI DCRE PS Chikkaballapur,Office,—,,9480806136,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Chikkaballapur, Office",PSI DCRE PS Chikkaballapur,Office,—,,9480806137,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"SP, DCRE, Southern Range",SP,"DCRE, Southern Range",0821-2344970,,2344912,,spsrdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Mysuru, Office",DCRE PS Mysuru,Office,0821-2344970,,—,,mycpsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DySP DCRE PS Mysuru, Office",DySP DCRE PS Mysuru,Office,—,,9480806138,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Mysuru, Office",PSI DCRE PS Mysuru,Office,—,,9480806139,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Hassan, Office",DCRE PS Hassan,Office,08172-200023,,—,,hsnpsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DySP DCRE PS Hassan, Office",DySP DCRE PS Hassan,Office,—,,9480806140,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Hassan, Office",PSI DCRE PS Hassan,Office,—,,9480806141,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Mandya, Office",DCRE PS Mandya,Office,08232-230703,,—,,mdypsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE PS Mandya, Office",PI DCRE PS Mandya,Office,—,,9480806142,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Mandya, Office",PSI DCRE PS Mandya,Office,—,,9480806143,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Chamarajanagara, Office",DCRE PS Chamarajanagara,Office,08226-224122,,—,,chnpsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE PS Chamarajanagara, Office",PI DCRE PS Chamarajanagara,Office,—,,9480806144,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Chamarajanagara, Office",PSI DCRE PS Chamarajanagara,Office,—,,9480806145,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Kodagu, Office",DCRE PS Kodagu,Office,08272-221050,,—,,mcrpsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE PS Kodagu, Office",PI DCRE PS Kodagu,Office,—,,9480806146,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Kodagu, Office",PSI DCRE PS Kodagu,Office,—,,9480806147,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"SP, DCRE Northern Range",SP,DCRE Northern Range,0831-2453802,,9480806108,,spnrdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Belagavi, Office",DCRE PS Belagavi,Office,0831-2453802,,—,,bgmpsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE PS Belagavi, Office",PI DCRE PS Belagavi,Office,—,,9480806148,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Belagavi, Office",PSI DCRE PS Belagavi,Office,—,,9480806149,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Bagalkote, Office",DCRE PS Bagalkote,Office,08354-295768,,—,,bgkpsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE PS Bagalkote, Office",PI DCRE PS Bagalkote,Office,—,,9480806150,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Bagalkote, Office",PSI DCRE PS Bagalkote,Office,—,,9480806151,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Dharwad, Office",DCRE PS Dharwad,Office,0836-2445580,,—,,dwdpsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE PS Dharwad, Office",PI DCRE PS Dharwad,Office,—,,9480806152,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Dharwad, Office",PSI DCRE PS Dharwad,Office,—,,9480806153,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Gadag, Office",DCRE PS Gadag,Office,08372-200223,,—,,gdgpsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE PS Gadag, Office",PI DCRE PS Gadag,Office,—,,9480806154,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Gadag, Office",PSI DCRE PS Gadag,Office,—,,9480806155,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Vijayapura, Office",DCRE PS Vijayapura,Office,08352-200150,,—,,vjppsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DySP DCRE PS Vijayapura, Office",DySP DCRE PS Vijayapura,Office,—,,9480806156,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Vijayapura, Office",PSI DCRE PS Vijayapura,Office,—,,9480806157,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"SP, DCRE Eastern Range",SP,DCRE Eastern Range,08192-259574,,9480806109,,sperdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Shivamogga, Office",DCRE PS Shivamogga,Office,08182-200788,,—,,shipsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DySP DCRE PS Shivamogga, Office",DySP DCRE PS Shivamogga,Office,—,,9480806158,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Shivamogga, Office",PSI DCRE PS Shivamogga,Office,—,,9480806159,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Chitradurga, Office",DCRE PS Chitradurga,Office,08194-231217,,—,,ctapsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE PS Chitradurga, Office",PI DCRE PS Chitradurga,Office,—,,9480806160,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Chitradurga, Office",PSI DCRE PS Chitradurga,Office,—,,9480806161,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Davanagere, Office",DCRE PS Davanagere,Office,08192-259575,,—,,dvgpsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE PS Davanagere, Office",PI DCRE PS Davanagere,Office,—,,9480806162,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Davanagere, Office",PSI DCRE PS Davanagere,Office,—,,9480806163,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Haveri, Office",DCRE PS Haveri,Office,08375-200867,,—,,hvrpsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE PS Haveri, Office",PI DCRE PS Haveri,Office,—,,9480806164,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Haveri, Office",PSI DCRE PS Haveri,Office,—,,9480806165,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"SP, DCRE, Western Range",SP,"DCRE, Western Range",0824-2453644,,9480806110,,spwrdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Dakshina Kannada, Office",DCRE PS Dakshina Kannada,Office,0824-2003644,,—,,dkpsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE PS Dakshina Kannada, Office",PI DCRE PS Dakshina Kannada,Office,—,,9480806166,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Dakshina Kannada, Office",PSI DCRE PS Dakshina Kannada,Office,—,,9480806167,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Uttara Kannada, Office",DCRE PS Uttara Kannada,Office,08382-221214,,—,,ukpsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE PS Uttara Kannada, Office",PI DCRE PS Uttara Kannada,Office,—,,9480806168,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Uttara Kannada, Office",PSI DCRE PS Uttara Kannada,Office,—,,9480806169,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Udupi, Office",DCRE PS Udupi,Office,0820-2003644,,—,,udppsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE PS Udupi, Office",PI DCRE PS Udupi,Office,—,,9480806170,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Udupi, Office",PSI DCRE PS Udupi,Office,—,,9480806171,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Chikkamagaluru, Office",DCRE PS Chikkamagaluru,Office,08262-232335,,—,,ckmpsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE PS Chikkamagaluru, Office",PI DCRE PS Chikkamagaluru,Office,—,,9480806172,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Chikkamagaluru, Office",PSI DCRE PS Chikkamagaluru,Office,—,,9480806173,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"SP, DCRE, North-Eastern Range",SP,"DCRE, North-Eastern Range",08472-263647,,9480806111,,spnerdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Kalaburagi, Office",DCRE PS Kalaburagi,Office,08472-255266,,—,,kbcpsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DySP DCRE PS Kalaburagi, Office",DySP DCRE PS Kalaburagi,Office,—,,9480806174,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Kalaburagi, Office",PSI DCRE PS Kalaburagi,Office,—,,9480806175,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Yadagiri, Office",DCRE PS Yadagiri,Office,08473-200141,,—,,ydrpsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE PS Yadagiri, Office",PI DCRE PS Yadagiri,Office,—,,9480806176,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Yadagiri, Office",PSI DCRE PS Yadagiri,Office,—,,9480806177,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Bidar, Office",DCRE PS Bidar,Office,08482-200988,,—,,bdrpsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE PS Bidar, Office",PI DCRE PS Bidar,Office,—,,9480806178,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Bidar, Office",PSI DCRE PS Bidar,Office,—,,9480806179,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Ballari, Office",DCRE PS Ballari,Office,08392-299038,,—,,blrpsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE PS Ballari, Office",PI DCRE PS Ballari,Office,—,,9480806180,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Ballari, Office",PSI DCRE PS Ballari,Office,—,,9480806181,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Raichur, Office",DCRE PS Raichur,Office,08532-230100,,—,,rcrpsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE PS Raichur, Office",PI DCRE PS Raichur,Office,—,,9480806182,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Raichur, Office",PSI DCRE PS Raichur,Office,—,,9480806183,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Koppal, Office",DCRE PS Koppal,Office,08539-230227,,—,,kplpsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE PS Koppal, Office",PI DCRE PS Koppal,Office,—,,9480806184,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Koppal, Office",PSI DCRE PS Koppal,Office,—,,9480806185,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"DCRE PS Vijayanagar, Office",DCRE PS Vijayanagar,Office,08394-266100,,—,,vjnpsdcre@ksp.gov.in
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PI DCRE PS Vijayanagar, Office",PI DCRE PS Vijayanagar,Office,—,,9480806186,,
Special Units,Directorate of Civil Rights Enforcement (DCRE),State Level,"PSI DCRE PS Vijayanagar, Office",PSI DCRE PS Vijayanagar,Office,—,,9480806187,,
