Section,Unit,District,Name,Rank,Station,Office 1,Office 2,Mobile 1,Mobile 2,Email
Special Units,Internal Security Division (ISD),State Level,"DySP, ISD DOCUMENTATION",DySP,ISD DOCUMENTATION,—,,9480800619,,
Special Units,Internal Security Division (ISD),State Level,"DySP, ISD TECHNICAL",DySP,ISD TECHNICAL,—,,9480800620,,
Special Units,Internal Security Division (ISD),State Level,"PI, MTO, ISD",PI,"MTO, ISD",—,,9480800628,,
Special Units,Internal Security Division (ISD),State Level,"PI, TECH WING (CDR)",PI,TECH WING (CDR),—,,9480800640,,
Special Units,Internal Security Division (ISD),State Level,"PI, NORTH EAST DIVISION",PI,NORTH EAST DIVISION,—,,9480800687,,
Special Units,Internal Security Division (ISD),State Level,"PI, TECHNICAL WING DR",PI,TECHNICAL WING DR,—,,9480800689,,
Special Units,Internal Security Division (ISD),State Level,"PI, ISD SMAC",PI,ISD SMAC,—,,9480800708,,
Special Units,Internal Security Division (ISD),State Level,"PI, ISD SOUTH EAST DIVISION",PI,ISD SOUTH EAST DIVISION,—,,9480800736,,
Special Units,Internal Security Division (ISD),State Level,"PI, LOGISTIC",PI,LOGISTIC,—,,9480800738,,
Special Units,Internal Security Division (ISD),State Level,"PI, ISD DOCUMENTATION",PI,ISD DOCUMENTATION,—,,9480800664,,
Special Units,Internal Security Division (ISD),State Level,"PI, TECH WING DOCUMENTATION-2",PI,TECH WING DOCUMENTATION-2,—,,9480800665,,
Special Units,Internal Security Division (ISD),State Level,"PI, TECH WING SOCIAL MEDIA",PI,TECH WING SOCIAL MEDIA,—,,9480800669,,
Special Units,Internal Security Division (ISD),State Level,"PI, TECH WING INTERCEPTION",PI,TECH WING INTERCEPTION,—,,9480800670,,
Special Units,Internal Security Division (ISD),State Level,"ISD, SYSTEM ADMIN",ISD,SYSTEM ADMIN,—,,9480800688,,
